Region	Cohorte	Academic_Area	Total
Santanderes	2012	ART & ARCHITECTURE	2
Santanderes	2007	ART & ARCHITECTURE	1
Sur-Occidente	2010	ART & ARCHITECTURE	1
Sur-Occidente	2005	ART & ARCHITECTURE	1
Eje-Cafetero	2015	ART & ARCHITECTURE	1
Eje-Cafetero	2008	ART & ARCHITECTURE	1
Caribe	2014	ART & ARCHITECTURE	1
Caribe	2013	ART & ARCHITECTURE	2
Caribe	2011	ART & ARCHITECTURE	1
Caribe	1991	ART & ARCHITECTURE	1
Valle-Aburra	2013	ART & ARCHITECTURE	1
Santanderes	2014	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	2013	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	2012	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	4
Santanderes	2008	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	3
Santanderes	2007	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	2005	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	2
Santanderes	2000	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	1991	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	1988	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Santanderes	1978	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	2012	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	2011	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	2
Sur-Occidente	2010	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	2008	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	1996	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	2
Sur-Occidente	1992	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	1990	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	1985	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Sur-Occidente	1977	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Cundi-Boyacense	2015	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Cundi-Boyacense	2012	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Eje-Cafetero	2012	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Eje-Cafetero	2010	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	3
Eje-Cafetero	2009	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	5
Eje-Cafetero	2008	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	2
Eje-Cafetero	2006	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Eje-Cafetero	1997	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Eje-Cafetero	1980	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Amazonia	2015	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Amazonia	2002	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Amazonia	1997	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
Amazonia	1994	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	1
