Region	Cohorte	Total
CALI	2015	4
CALI	2014	6
CALI	2013	12
CALI	2012	11
CALI	2011	14
CALI	2010	12
CALI	2009	6
CALI	2008	2
CALI	2007	5
CALI	2006	3
CALI	2005	4
CALI	2004	2
CALI	2003	2
CALI	2002	1
CALI	2001	3
CALI	2000	1
CALI	1999	3
CALI	1998	2
CALI	1995	3
CALI	1994	1
CALI	1993	1
CALI	1992	1
CALI	1989	2
CALI	1988	2
CALI	1987	1
CALI	1986	4
CALI	1985	2
CALI	1984	2
CALI	1983	1
CALI	1981	2
CALI	1980	2
CALI	1979	2
CALI	1972	1
CALI	1964	1
CALI	1963	1
MEDELLIN	2015	11
MEDELLIN	2014	8
MEDELLIN	2013	11
MEDELLIN	2012	15
MEDELLIN	2011	14
MEDELLIN	2010	14
MEDELLIN	2009	8
MEDELLIN	2008	18
MEDELLIN	2007	8
MEDELLIN	2006	8
MEDELLIN	2005	4
MEDELLIN	2004	21
MEDELLIN	2003	6
MEDELLIN	2002	10
MEDELLIN	2001	7
MEDELLIN	2000	12
MEDELLIN	1999	13
MEDELLIN	1998	5
MEDELLIN	1997	3
MEDELLIN	1995	2
MEDELLIN	1994	2
MEDELLIN	1993	2
MEDELLIN	1992	3
MEDELLIN	1991	2
MEDELLIN	1990	1
MEDELLIN	1988	3
MEDELLIN	1987	1
MEDELLIN	1986	5
MEDELLIN	1984	1
MEDELLIN	1983	2
MEDELLIN	1982	5
MEDELLIN	1981	1
MEDELLIN	1979	2
MEDELLIN	1976	2
MEDELLIN	1966	1
MEDELLIN	1962	1
BOGOTA D.C.	2015	35
BOGOTA D.C.	2014	42
BOGOTA D.C.	2013	51
BOGOTA D.C.	2012	55
BOGOTA D.C.	2011	40
BOGOTA D.C.	2010	30
BOGOTA D.C.	2009	28
BOGOTA D.C.	2008	27
BOGOTA D.C.	2007	18
BOGOTA D.C.	2006	24
BOGOTA D.C.	2005	20
BOGOTA D.C.	2004	23
BOGOTA D.C.	2003	24
BOGOTA D.C.	2002	26
BOGOTA D.C.	2001	22
BOGOTA D.C.	2000	19
BOGOTA D.C.	1999	30
BOGOTA D.C.	1998	16
BOGOTA D.C.	1997	13
BOGOTA D.C.	1996	7
BOGOTA D.C.	1995	15
BOGOTA D.C.	1994	12
BOGOTA D.C.	1993	15
BOGOTA D.C.	1992	10
BOGOTA D.C.	1991	5
BOGOTA D.C.	1990	10
BOGOTA D.C.	1989	8
BOGOTA D.C.	1988	11
BOGOTA D.C.	1987	13
BOGOTA D.C.	1986	11
BOGOTA D.C.	1985	11
BOGOTA D.C.	1984	9
BOGOTA D.C.	1983	5
BOGOTA D.C.	1982	8
BOGOTA D.C.	1981	11
BOGOTA D.C.	1980	10
BOGOTA D.C.	1979	12
BOGOTA D.C.	1978	10
BOGOTA D.C.	1977	8
BOGOTA D.C.	1976	8
BOGOTA D.C.	1975	4
BOGOTA D.C.	1974	5
BOGOTA D.C.	1973	8
BOGOTA D.C.	1972	4
BOGOTA D.C.	1971	6
BOGOTA D.C.	1970	3
BOGOTA D.C.	1969	2
BOGOTA D.C.	1968	4
BOGOTA D.C.	1967	5
BOGOTA D.C.	1966	1
BOGOTA D.C.	1965	6
BOGOTA D.C.	1964	4
BOGOTA D.C.	1963	3
BOGOTA D.C.	1962	2
BOGOTA D.C.	1961	1
BOGOTA D.C.	1960	2
BOGOTA D.C.	1959	2
BOGOTA D.C.	1958	3
