Region	Cohorte	Total
Eje-Cafetero	2015	3
Eje-Cafetero	2014	1
Eje-Cafetero	2013	2
Eje-Cafetero	2012	3
Eje-Cafetero	2011	2
Eje-Cafetero	2010	3
Eje-Cafetero	2009	8
Eje-Cafetero	2008	8
Eje-Cafetero	2007	2
Eje-Cafetero	2006	4
Eje-Cafetero	2005	3
Eje-Cafetero	2004	1
Eje-Cafetero	2003	1
Eje-Cafetero	1999	1
Eje-Cafetero	1998	1
Eje-Cafetero	1997	2
Eje-Cafetero	1996	1
Eje-Cafetero	1994	1
Eje-Cafetero	1991	1
Eje-Cafetero	1989	2
Eje-Cafetero	1988	3
Eje-Cafetero	1987	4
Eje-Cafetero	1985	2
Eje-Cafetero	1984	1
Eje-Cafetero	1982	2
Eje-Cafetero	1981	2
Eje-Cafetero	1980	2
Eje-Cafetero	1965	1
