Region	Cohorte	Total
Sur-occidentes	2015	2
Sur-occidentes	2014	1
Sur-occidentes	2013	2
Sur-occidentes	2012	2
Sur-occidentes	2011	3
Sur-occidentes	2010	3
Sur-occidentes	2009	2
Sur-occidentes	2008	2
Sur-occidentes	2006	3
Sur-occidentes	2005	1
Sur-occidentes	2004	1
Sur-occidentes	2000	2
Sur-occidentes	1997	1
Sur-occidentes	1996	2
Sur-occidentes	1994	1
Sur-occidentes	1992	2
Sur-occidentes	1991	1
Sur-occidentes	1990	2
Sur-occidentes	1988	3
Sur-occidentes	1987	1
Sur-occidentes	1985	2
Sur-occidentes	1984	1
Sur-occidentes	1983	1
Sur-occidentes	1981	1
Sur-occidentes	1979	1
Sur-occidentes	1977	1
Sur-occidentes	1974	1
